순위,제목,가수,앨범
1,회전목마 (Feat. Zion.T & 원슈타인) (Prod. by Slom),sokodomo,쇼미더머니 10 Episode 2
2,리무진 (Feat. MINO) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Episode 3
3,매일 크리스마스 (Everyday Christmas),다비치,매일 크리스마스 (Everyday Christmas)
4,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. by TOIL),베이식,쇼미더머니 10 Episode 3
5,불협화음 (Feat. AKMU) (Prod. by GRAY),Mudd the student,쇼미더머니 10 Semi Final
6,쉬어 (Feat. MINO) (Prod. by GRAY),아넌딜라이트 (Anandelight) & Unofficialboyy & BE'O (비오) & 지구인 & Mudd The Student,쇼미더머니 10 Episode 1
7,strawberry moon,아이유 (IU),strawberry moon
8,문득,BE'O (비오),Bipolar
9,Wake Up (Prod. by 코드 쿤스트),개코 & Ourealgoat (아우릴고트) & SINCE & 안병웅 & Tabber & 조광일,쇼미더머니 10 Episode 1
10,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
11,ELEVEN,IVE (아이브),ELEVEN
12,다정히 내 이름을 부르면,경서예지 & 전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
13,네가 없는 밤 (Feat. ASH ISLAND) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Final
14,Stay,The Kid LAROI & Justin Bieber,Stay
15,신호등,이무진,신호등
16,MBTI (Feat. 쿠기 & 로꼬) (Prod. by GRAY),BE'O (비오),쇼미더머니 10 Semi Final
17,Savage,aespa,Savage - The 1st Mini Album
18,All I Want for Christmas Is You,Mariah Carey,Merry Christmas (Deluxe Anniversary Edition)
19,OHAYO MY NIGHT,디핵 (D-Hack) & PATEKO,OHAYO MY NIGHT
20,눈이 오잖아 (Feat.헤이즈),이무진,눈이 오잖아
21,Next Level,aespa,Next Level
22,너를 생각해,주시크 (Joosiq),너를 생각해
23,Hey Mama (Feat. Nicki Minaj & Bebe Rexha & Afrojack),David Guetta,Listen (Deluxe)
24,My Universe,Coldplay & 방탄소년단,My Universe
25,호우주의 (Feat. 개코 & 넉살 (Nucksal)) (Prod. by 코드 쿤스트),조광일,쇼미더머니 10 Semi Final
26,탕!♡,MINO (송민호),''TO INFINITY.''
27,낙하 (With 아이유),AKMU (악뮤),NEXT EPISODE
28,바라만 본다,MSG워너비 (M.O.M),MSG워너비 1집
29,Bad Habits,Ed Sheeran,=
30,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
31,Santa Tell Me,Ariana Grande,Santa Tell Me
32,Permission to Dance,방탄소년단,Butter / Permission to Dance
33,Butter,방탄소년단,Butter
34,미리 메리 크리스마스 (Feat. 천둥 of MBLAQ),아이유 (IU),REAL
35,다시 사랑한다면 (김필 Ver.),임영웅,사랑의 콜센타 PART56
36,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
37,깐부 (Feat. 염따 & ASH ISLAND) (Prod. by TOIL),쿤타 (Koonta),쇼미더머니 10 Episode 3
38,Weekend,태연 (TAEYEON),Weekend
39,Dynamite,방탄소년단,Dynamite (DayTime Ver.)
40,헤픈 우연,헤이즈 (Heize),HAPPEN
41,Celebrity,아이유 (IU),IU 5th Album 'LILAC'
42,별빛 같은 나의 사랑아,임영웅,별빛 같은 나의 사랑아
